Computer Name,Operating System,Model,Serial Number
BIO-1DB83J3,Windows 11,Latitude 5420,1DB83J3
BIO-2B2H6J3,Windows 11,Latitude 5420,2B2H6J3
BIO-2FNZY93,Windows 11,Latitude 5520,2FNZY93
BIO-2UA23917CX,Windows 10,Compaq Pro 6300 SFF,2UA23917CX
BIO-2UA42428GL,Windows 10,ProDesk 600 G1 SFF,2UA42428GL
BIO-2UA4290QWQ,Windows 10,ProDesk 600 G1 SFF,2UA4290QWQ
BIO-2UA4290QXB,Windows 10,ProDesk 600 G1 SFF,2UA4290QXB
BIO-2UA5232GW8,Windows 10,ProDesk 600 G1 SFF,2UA5232GW8
BIO-2UA61822ZJ,Windows 10,,
BIO-5CG7244RRF,Windows 10,EliteBook 840 G3,5CG7244RRF
BIO-5CG90375CG,Windows 11,,
BIO-5CG9107H73,Windows 11,EliteBook 840 G5,5CG9107H73
BIO-5NG74J3,Windows 11,Latitude 5420,5NG74J3
BIO-6CG14J3,Windows 11,Latitude 5420,6CG14J3
BIO-6U880473921,Windows 11,,C7320LH11M40012
BIO-84DV3J3,Windows 11,Latitude 5420,84DV3J3
BIO-CALICO,Windows 10,ProDesk 600 G1 SFF,2UA4290QY0
BIO-CBB04J3,Windows 11,Latitude 5420,CBB04J3
BIO-CHRSTEIN-PC,Windows 10,ProDesk 600 G4 SFF,MXL9215D3Q
BIO-FKX64J3,Windows 11,Latitude 5420,FKX64J3
BIO-GGWL163,Windows 11,Latitude 5410,GGWL163
BIO-H68J4J3,Windows 11,Latitude 5420,H68J4J3
BIO-HFX64J3,Windows 11,Latitude 5420,HFX64J3
BIO-JVYJ4J3,Windows 11,Latitude 5420,JVYJ4J3
BIO-LOCKNETICS,Windows 7,EliteDesk 800 G1 USDT,2UA4230Y6H
BIO-MXL7421KBP,Windows 10,ProDesk 600 G3 SFF,MXL7421KBP
CAS-DR9TST3,Windows 11,,
EEB-1KSLMS1,Windows 10,OptiPlex 990,1KSLMS1
EEB-2J3H1F3,Windows 11,Latitude 5420,2J3H1F3
EEB-2UA22517SC,Windows 10,Compaq 6200 Pro SFF,2UA22517SC
